Number of elements 658
     0 :  1.1052993e-05  2.3081058e-05 -1.5081322e-05
     1 :  4.7896270e-07 -4.2007465e-07 -7.2579533e-07
     2 : -8.0016984e-10 -1.8135253e-10  1.8478917e-09
     3 : -6.7497756e-25  5.9801603e-25  3.1978895e-26
     4 : -7.0587624e-19  1.6364990e-18 -1.9616055e-19
     5 : -7.2451581e-18 -4.9329652e-18  1.7577294e-17
     6 : -5.5401709e-16  8.8151938e-16 -4.0941649e-16
     7 : -3.0304732e-05  5.9275080e-05  3.3335612e-05
     8 : -3.1154905e-04  2.7250448e-03 -6.1340933e-04
     9 : -3.6660035e-19  2.8215496e-20  3.0392136e-19
    10 : -2.4631221e-16  9.1925910e-17  6.9464208e-17
    11 : -2.0586657e-20  5.9461036e-20 -1.7561701e-20
    12 :  4.3028619e-01  8.3156918e-01  5.4013930e-01
    13 : -3.6285615e-12 -7.3721517e-13  2.0072024e-12
    14 :  1.7627462e-07 -1.4016223e-08 -6.4602319e-08
    15 : -2.3319874e-02  1.8259764e-01  1.5099407e-01
    16 :  4.3855503e-01  1.2129183e-01  3.0553390e-01
    17 : -6.5387854e-26  1.3436560e-26  3.1106367e-26
    18 : -7.1538503e-14  2.2296471e-14  2.7850873e-14
    19 : -4.6255229e-15  5.8441802e-15  3.6380268e-15
    20 : -7.5398339e-18  6.2784956e-18  9.6752980e-18
    21 :  1.5689808e-03  3.1163049e-04 -1.0735316e-03
    22 :  1.7913044e-12  9.2858320e-13 -1.1209522e-12
    23 :  1.3984732e-01  3.9474616e-01  8.3149798e-01
    24 :  8.4932362e-01  7.8511955e-01  4.8725311e-01
    25 :  1.3532071e-01  8.5842207e-02  4.4776634e-01
    26 :  5.9734950e-06 -5.2822169e-05  8.5722188e-06
    27 : -9.5127470e-21 -6.9265855e-20  1.0314660e-19
    28 :  4.0540424e-10  5.5065943e-11 -1.9383093e-10
    29 :  2.1085303e-01  7.6688865e-01  4.6113449e-01
    30 :  1.8645538e-22  1.8686355e-21 -2.7672674e-21
    31 : -1.9949140e-01  3.6396286e-01  1.6753521e-01
    32 :  3.5582480e-01  2.4918217e-02  9.9359178e-02
    33 : -1.4929534e-07  6.7612030e-08  6.3482784e-09
    34 : -1.1357950e-14  8.4092656e-16  4.6511433e-15
    35 :  6.3550243e-24  1.6991204e-24 -3.9169108e-24
    36 :  2.5515071e-01  4.4921783e-01  7.1402155e-01
    37 : -1.6678912e-07  2.7009867e-08  3.0136331e-07
    38 : -7.2730828e-02  1.5448936e-01  7.3929421e-02
    39 :  2.8815710e-06 -1.0397249e-05  2.3465490e-06
    40 :  3.3868778e-13 -3.2438182e-13 -4.4304944e-13
    41 : -1.0944397e-02  1.4094188e-02 -1.2414137e-02
    42 : -2.7754302e-20  1.5517755e-19 -4.4165090e-20
    43 :  3.5208465e-04 -3.2974074e-04 -4.4922797e-04
    44 :  7.7388094e-01  7.6082100e-01  2.1916748e-01
    45 : -4.6230532e-03  1.1247379e-01 -1.5095407e-02
    46 : -3.3376111e-08  4.8449542e-09  2.6040006e-08
    47 : -5.6843597e-25  4.8573906e-25 -4.3337206e-25
    48 :  8.7048715e-09 -2.6136927e-09 -2.6263402e-09
    49 :  8.3796226e-01  1.0100162e+00  3.1027297e-01
    50 : -5.4061616e-07 -3.1102074e-07  2.5876494e-07
    51 :  4.1319844e-03 -1.1784624e-02  1.3051468e-03
    52 :  1.5142389e-02 -3.6738058e-02 -1.1536638e-02
    53 : -2.6302845e-08  2.0505076e-08 -2.4934621e-08
    54 :  3.0000715e-01  8.7908955e-01  7.1146578e-01
    55 :  9.1729618e-01  9.7005070e-01  9.0324336e-01
    56 :  8.5981834e-01  6.8985646e-01  4.7068583e-01
    57 : -4.7016291e-02  1.0248084e-01 -3.5916861e-02
    58 :  1.3062833e-27  1.5759709e-27 -4.2365739e-27
    59 :  1.0640974e-04 -1.0409987e-04 -3.9525630e-05
    60 :  4.8578723e-05  2.0254971e-04  1.2504877e-04
    61 :  6.5025469e-01  1.2351173e-01  1.5666669e-01
    62 :  8.1229798e-14  1.4557674e-14 -3.9519454e-14
    63 :  9.0278330e-02  4.6640730e-01  5.3325937e-01
    64 : -1.3763183e-15  2.8325990e-15 -8.9274017e-16
    65 : -1.3619506e-02  9.8201870e-04  1.8592116e-03
    66 :  1.7626276e-16 -1.8890588e-16 -1.9474786e-16
    67 :  1.1648583e+00  7.4857194e-01  2.4689843e-01
    68 :  7.0321037e-01  7.4908418e-01  1.1692504e+00
    69 : -7.3367762e-03  1.4255695e-03  6.5759899e-03
    70 : -1.2336421e-06  4.2612103e-06 -1.0784015e-06
    71 :  5.6612844e-04 -2.3791368e-04 -8.1953392e-05
    72 : -1.6257214e-02 -1.2285772e-02  2.6039011e-03
    73 : -3.2833522e-04 -6.9180561e-05  1.0368789e-04
    74 : -2.0348325e-20 -3.1783273e-20  2.2334017e-20
    75 :  8.0408695e-21 -6.5761021e-20  2.8606389e-20
    76 :  2.9888335e-03 -3.2700583e-05 -2.3564285e-03
    77 :  1.1191196e-13  1.2238538e-14 -1.4992778e-13
    78 : -1.2702993e-11  5.8816020e-13  1.5342842e-11
    79 :  3.2008873e-19 -4.8840970e-19 -1.7317269e-19
    80 :  1.1677311e-22 -2.0268062e-22  2.5377027e-23
    81 : -7.7645390e-13  1.8990955e-12 -3.3262113e-12
    82 :  1.3379866e-23 -6.8387295e-23  1.2613529e-22
    83 :  9.6606543e-14 -5.9636994e-13  4.2680412e-13
    84 :  3.8265957e-03  4.3229274e-03 -1.3175795e-03
    85 :  2.6178143e-05 -4.6956680e-05  1.2575503e-04
    86 : -4.5064957e-18  1.1078879e-17 -1.2295065e-18
    87 : -6.6257868e-17  4.6922205e-16 -2.9471197e-16
    88 :  8.8794275e-01  1.1297864e+00  9.3096961e-01
    89 : -4.4510510e-08  1.3112468e-08  9.4799827e-09
    90 :  2.8328372e-04  6.8544876e-04 -7.7206503e-04
    91 :  2.8796983e-01  8.0845316e-01  2.8199321e-01
    92 : -3.8561251e-09 -2.5168977e-10  2.9486528e-09
    93 : -4.4156050e-06 -2.7373201e-06  6.0376187e-05
    94 :  8.2034662e-01  9.3893611e-01  9.4143178e-01
    95 :  4.2143653e-01  8.5811244e-01  4.6189725e-01
    96 :  2.5148380e-11  5.4420570e-11 -1.0923659e-10
    97 :  9.0741987e-01  1.0303366e+00  5.9919364e-01
    98 :  1.8829871e-03  1.4204589e-03 -1.2971180e-03
    99 : -6.8775885e-13  1.1578129e-12  4.3521365e-13
   100 : -4.3920010e-13  2.8764784e-13 -2.3762431e-13
   101 :  4.5359724e-08 -2.8528945e-08 -8.7167093e-08
   102 :  8.6896976e-01  8.4235029e-01  1.1909896e+00
   103 : -1.9571028e-02  1.3412830e-01 -1.0021085e-01
   104 : -2.8154711e-06 -3.1499980e-06  8.7997936e-06
   105 : -1.0012032e-17  4.5053347e-18  3.1598836e-18
   106 : -6.7818795e-07  8.5755558e-07  2.8394895e-06
   107 :  4.2861234e-16 -4.0200408e-16 -5.4968918e-16
   108 :  1.3901086e-16  6.4920690e-17 -9.9256318e-17
   109 : -1.6472990e-13  3.3010923e-14  6.4504652e-14
   110 : -1.5974920e-04  3.2097768e-03 -5.3785056e-04
   111 :  2.1123340e-13 -1.6070418e-13  1.4631020e-13
   112 : -3.7501196e-06  3.7858126e-05 -7.3629920e-06
   113 : -4.6601442e-03 -4.5675396e-04 -7.7366032e-04
   114 :  7.7942438e-01  9.1870935e-01  5.9040418e-01
   115 : -3.9299209e-02 -4.0044618e-05  1.6036263e-01
   116 : -9.0286281e-15  1.5257386e-14  7.4495158e-15
   117 :  9.5765522e-06 -1.2864242e-05  1.1416841e-06
   118 :  2.4143334e-02 -9.6520021e-03 -7.7956842e-03
   119 : -1.3017014e-10  3.9506080e-11  3.7049726e-11
   120 :  7.8250061e-01  3.3065110e-01  9.9508289e-01
   121 :  6.2416472e-16  1.8467430e-16 -3.6834354e-16
   122 :  6.8179696e-01  9.6801224e-02  3.2090203e-01
   123 :  6.6314556e-02  3.7744645e-01  1.1455127e-01
   124 : -6.9486874e-07  1.0808164e-07  4.7611153e-07
   125 : -1.8138442e-17 -3.7677816e-16  1.7946218e-16
   126 : -2.2322145e-10  5.1861920e-10 -1.4722437e-10
   127 :  1.7754984e-14 -1.6180283e-14 -1.7969936e-15
   128 :  1.5025999e-09 -3.2823277e-09 -4.3022190e-10
   129 :  9.9504163e-02  1.7606129e-01  7.2843262e-01
   130 : -1.4396978e-12  6.5759007e-13 -1.7067576e-13
   131 : -1.4014266e-01  2.0878813e-01  4.2176406e-01
   132 : -1.6740803e-16  4.9104330e-16 -1.8011186e-16
   133 :  1.4070392e-19 -3.4038967e-20 -7.2002427e-20
   134 :  4.2446874e-01  2.8405595e-01  8.0182721e-01
   135 : -1.9907332e-02  2.8521543e-02 -1.6331747e-02
   136 :  1.5581611e-07  3.8715664e-07 -5.2772514e-07
   137 :  1.8869401e-26  3.1598131e-27 -2.6565402e-26
   138 :  7.0047385e-18 -1.1056810e-17 -3.1445460e-18
   139 :  3.3085079e-04 -4.9813751e-04 -3.6175332e-04
   140 : -4.1033600e-08  6.3649929e-08 -1.2233460e-08
   141 : -9.4263881e-14  4.7480578e-14  2.4488875e-14
   142 : -2.2175163e-02 -3.9321876e-02  3.6086593e-02
   143 :  7.4557761e-13 -4.5535836e-13  1.9391495e-13
   144 : -8.9955230e-10 -3.3999385e-10  3.0287346e-09
   145 : -2.9876888e-20  2.7602953e-20 -2.9432869e-20
   146 :  3.4101984e-04  1.3081411e-04 -2.7692394e-03
   147 :  4.9708707e-01  1.4634992e-01  1.0164515e-01
   148 : -3.3629873e-15  5.9435972e-15  8.9713726e-16
   149 :  2.4784764e-04 -3.7584241e-04 -3.4798124e-04
   150 :  6.3075328e-15  3.0147362e-15 -4.1342497e-15
   151 :  1.1983150e+00  2.5123302e-01  1.0567197e+00
   152 : -3.9126303e-23  1.2216021e-23  1.4773106e-23
   153 :  5.3332141e-04  1.1340867e-03  2.6684077e-03
   154 :  4.3041048e-14 -1.6609519e-13  3.3958370e-13
   155 :  8.2844346e-09 -1.4546776e-07  5.2702924e-08
   156 : -6.7114424e-16  4.9650200e-16  8.1395177e-17
   157 : -1.0991107e-02  5.3578735e-03  4.7182828e-03
   158 :  8.1016586e-01  8.6903867e-01  4.7103733e-01
   159 :  1.8857974e-12  1.1782101e-11 -1.3820126e-11
   160 :  3.2250552e-01  2.7012667e-01  6.8969771e-01
   161 :  5.8098129e-01  3.3800680e-01  1.2897505e-01
   162 :  6.1801299e-01  1.2844880e+00  1.1262497e+00
   163 :  6.3367920e-01  7.8202800e-01  1.1252882e+00
   164 : -3.3868061e-03  3.9277767e-03  5.0196746e-03
   165 : -9.2083702e-03  1.2867642e-01  4.9599714e-01
   166 :  4.8849521e-01  5.2513243e-01  8.5426224e-02
   167 :  4.5008835e-16 -9.9746689e-17 -2.3851043e-16
   168 : -2.3359955e-06 -4.1874338e-05  1.5618673e-05
   169 :  4.0710873e-15 -3.9086748e-15 -4.0360104e-17
   170 : -1.0434780e-07 -1.0588659e-07  4.6446836e-07
   171 : -2.1172211e-13  1.2288383e-13 -1.2990342e-13
   172 :  9.4440692e-08 -3.2036984e-07  7.8722898e-08
   173 :  7.7974710e-01  3.4675424e-01  5.9493998e-01
   174 : -3.4505666e-14  4.5020073e-14  3.3499193e-14
   175 : -6.0267812e-11  1.0712893e-10  5.7510536e-11
   176 : -4.6125459e-10 -1.9003552e-10  1.3405491e-09
   177 :  7.3490386e-01  5.0581277e-01  5.5610581e-02
   178 :  9.3927286e-01  4.5700968e-01  5.9124062e-01
   179 :  4.6832064e-01  5.0870497e-02  3.2169442e-02
   180 :  9.5904763e-01  7.5634413e-01  4.2045638e-01
   181 :  2.9552048e-01  6.2225729e-01  3.8002897e-01
   182 :  8.1153898e-01  1.1007362e+00  2.8138678e-01
   183 : -3.5717682e-16  2.6582924e-17  3.1419188e-16
   184 :  8.0580646e-02 -6.4178279e-02  6.3724300e-02
   185 :  5.7234690e-29 -1.4438986e-30 -3.0346460e-29
   186 : -4.4251947e-11 -1.1351881e-10  2.9246681e-10
   187 : -5.4545234e-02  6.6400315e-02 -2.2822982e-02
   188 : -4.9719335e-15  1.8666006e-15  8.4034935e-15
   189 :  1.8582228e-18 -1.0668015e-18  9.6846261e-20
   190 : -2.0735374e-02 -1.9761954e-02  1.4945747e-02
   191 :  5.1908056e-01  5.0238448e-01  2.3231619e-01
   192 :  7.4346883e-01  1.0899971e+00  1.0047011e+00
   193 : -3.2789649e-10 -1.9160480e-10  8.1823380e-10
   194 : -1.4700235e-15  8.7276329e-15 -4.1080402e-15
   195 :  2.9684941e-19  2.1507743e-19 -7.1725985e-19
   196 :  2.5433962e-13 -1.2982234e-13  4.8167967e-14
   197 : -5.1548198e-03  1.4495883e-01 -8.9390768e-03
   198 : -2.7761057e-19 -4.8791319e-19  1.1577083e-18
   199 : -2.8147754e-13  2.2197509e-13 -1.9850956e-13
   200 :  2.8513714e-19 -3.2830553e-18  1.4885640e-18
   201 : -3.4822274e-02 -1.8875204e-02  2.5812989e-02
   202 : -1.0839576e-01  1.8729813e-01  1.7660243e-01
   203 :  3.7166421e-19 -1.1655685e-19 -1.3174719e-19
   204 : -2.7629023e-03 -1.8820079e-03 -1.8657815e-02
   205 : -8.1756756e-02  1.2682271e-01 -4.3141241e-02
   206 : -2.0084276e-02  1.5297979e-02 -1.5683143e-02
   207 :  1.2235277e-17 -2.9495622e-17  4.4050712e-18
   208 :  4.9290210e-04  1.0945177e-02 -1.5525444e-02
   209 :  4.9527730e-19 -1.1748819e-18  1.8173239e-19
   210 :  6.7995545e-01  5.5970697e-01  1.3750173e-01
   211 :  7.5994833e-06  4.3164174e-05 -1.3592472e-04
   212 :  9.2131890e-01  4.4274814e-01  9.6805204e-01
   213 :  9.1239659e-01  8.7967981e-01  8.9779226e-01
   214 :  4.4007609e-06 -3.2468451e-06  4.2327779e-06
   215 : -4.3503793e-14  1.6648380e-14  8.5011793e-15
   216 :  4.0181965e-01  4.6628746e-01  1.4756256e-01
   217 : -5.1022215e-20  9.3996955e-20 -1.3352053e-20
   218 : -5.3278237e-03  3.1101458e-03 -9.1496156e-03
   219 :  7.5138206e-01  7.7732098e-01  3.4548324e-01
   220 : -7.1191067e-15  1.1092840e-14  5.1307475e-15
   221 :  3.8876348e-01  5.4895298e-01  5.7786634e-01
   222 : -2.3612735e-21  1.9890133e-21  1.6699310e-22
   223 :  3.7117922e-01  8.4610007e-01  4.0032612e-01
   224 :  1.4249342e-11 -2.2182229e-11 -2.0628345e-12
